session_id,gps_date,gps_time,latitude,longitude,velocity,course,satellites_in_view,satellites_used,hdop
20260609_190003,6/9/2026,00:07.0,32.1002687,36.1122155,0.097,0,10,5,1.81
20260609_190003,6/9/2026,00:08.0,32.1002695,36.1122165,0.144,0,10,5,1.81
20260609_190003,6/9/2026,00:09.0,32.1002693,36.112216,0.14,0,10,6,1.81
20260609_190003,6/9/2026,00:10.0,32.1002682,36.1122145,0.09,0,10,6,1.81
20260609_190003,6/9/2026,00:11.0,32.1002678,36.112214,0.096,0,10,6,1.81
20260609_190003,6/9/2026,00:12.0,32.1002545,36.1121913,0.064,235.33,10,6,1.31
20260609_190003,6/9/2026,00:13.0,32.1002422,36.11217,0.039,235.72,10,6,1.31
20260609_190003,6/9/2026,00:14.0,32.100233,36.112154,0.021,235.83,10,6,1.31
20260609_190003,6/9/2026,00:15.0,32.1002335,36.112154,0.042,0,10,5,1.8
20260609_190003,6/9/2026,00:16.0,32.100234,36.1121543,0.038,0,10,5,1.8
20260609_190003,6/9/2026,00:17.0,32.1002338,36.112154,0.015,0,10,5,1.8
20260609_190003,6/9/2026,00:18.0,32.1002347,36.1121563,0.031,0,10,5,1.8
20260609_190003,6/9/2026,00:19.0,32.1002383,36.1121568,0.318,0,10,6,1.8
20260609_190003,6/9/2026,00:20.0,32.10024,36.1121593,0.246,0,10,6,1.8
20260609_190003,6/9/2026,00:21.0,32.100241,36.1121593,0.156,0,10,6,1.31
20260609_190003,6/9/2026,00:22.0,32.1002373,36.1121602,0.263,0,10,7,1.31
20260609_190003,6/9/2026,00:23.0,32.1002352,36.1121635,0.401,0,10,7,1.31
20260609_190003,6/9/2026,00:24.0,32.100233,36.1121665,0.439,0,10,6,1.31
20260609_190003,6/9/2026,00:25.0,32.1002327,36.1121642,0.293,0,10,6,1.31
20260609_190003,6/9/2026,00:26.0,32.1002403,36.1121613,0.38,342.09,10,7,1.31
20260609_190003,6/9/2026,00:27.0,32.1002542,36.1121602,0.787,356.16,10,7,1.31
20260609_190003,6/9/2026,00:28.0,32.1002608,36.112163,0.507,19.77,10,6,1.31
20260609_190003,6/9/2026,00:29.0,32.1002617,36.1121647,0.195,0,10,5,1.8
20260609_190003,6/9/2026,00:30.0,32.1002623,36.1121642,0.129,0,10,5,1.8
20260609_190003,6/9/2026,00:31.0,32.1002628,36.1121653,0.1,0,10,5,1.8
20260609_190003,6/9/2026,00:32.0,32.100264,36.1121663,0.098,0,10,5,1.8
20260609_190003,6/9/2026,00:33.0,32.1002633,36.112166,0.062,0,10,5,1.8
20260609_190003,6/9/2026,00:34.0,32.1002562,36.1121778,0.337,125.39,10,7,1.53
20260609_190003,6/9/2026,00:35.0,32.100267,36.1121787,0.407,4.04,10,6,1.79
20260609_190003,6/9/2026,00:36.0,32.1002762,36.1121778,0.851,359.95,10,6,1.79
20260609_190003,6/9/2026,00:37.0,32.1002852,36.1121792,1.17,4.99,10,6,1.79
20260609_190003,6/9/2026,00:38.0,32.1002963,36.1121805,1.307,5.59,10,6,1.79
20260609_190003,6/9/2026,00:39.0,32.1003047,36.112181,1.073,5.39,10,5,1.79
20260609_190003,6/9/2026,00:40.0,32.1003127,36.1121837,1.045,9.79,10,5,1.79
20260609_190003,6/9/2026,00:41.0,32.1003203,36.1121873,1.041,13.84,10,5,1.79
20260609_190003,6/9/2026,00:42.0,32.1003282,36.1121852,1.051,7.74,10,5,1.79
20260609_190003,6/9/2026,00:43.0,32.1003382,36.1121843,1.274,3.07,10,5,1.79
20260609_190003,6/9/2026,00:44.0,32.1003483,36.1121833,1.216,0.37,10,5,1.79
20260609_190003,6/9/2026,00:45.0,32.1003597,36.112181,1.295,0.22,10,5,1.79
20260609_190003,6/9/2026,00:46.0,32.100373,36.1121925,1.371,8.31,10,7,1.31
20260609_190003,6/9/2026,00:47.0,32.1003842,36.1121937,1.353,8.55,10,5,1.79
20260609_190003,6/9/2026,00:48.0,32.1003952,36.1121938,1.384,8,10,5,1.79
20260609_190003,6/9/2026,00:49.0,32.1004062,36.1121957,1.402,9.96,10,5,1.79
20260609_190003,6/9/2026,00:50.0,32.1004162,36.1121997,1.345,13.94,10,6,1.79
20260609_190003,6/9/2026,00:51.0,32.1004263,36.1122022,1.318,14.62,10,7,1.79
20260609_190003,6/9/2026,00:52.0,32.1004367,36.1122017,1.347,9.54,10,6,1.79
20260609_190003,6/9/2026,00:53.0,32.1004475,36.1122015,1.359,7.58,10,6,1.79
20260609_190003,6/9/2026,00:54.0,32.1004593,36.1122008,1.444,4.88,10,6,1.78
20260609_190003,6/9/2026,00:55.0,32.100471,36.112202,1.436,8.77,10,6,1.78
20260609_190003,6/9/2026,00:56.0,32.1004822,36.112204,1.379,9.19,10,8,1.78
20260609_190003,6/9/2026,00:57.0,32.1004933,36.1122062,1.363,11.03,10,6,1.78
20260609_190003,6/9/2026,00:58.0,32.1005007,36.1122048,1.23,9.81,10,6,1.78
20260609_190003,6/9/2026,00:59.0,32.1005087,36.1122032,1.258,7.29,10,7,1.78
20260609_190003,6/9/2026,01:00.0,32.1005167,36.1121977,1.31,5.75,10,7,1.14
20260609_190003,6/9/2026,01:01.0,32.1005255,36.112195,1.314,3.49,10,7,1.53
20260609_190003,6/9/2026,01:02.0,32.1005347,36.112192,1.343,2.72,10,7,1.53
20260609_190003,6/9/2026,01:03.0,32.1005445,36.1121888,1.363,2.01,10,7,1.14
20260609_190003,6/9/2026,01:04.0,32.1005532,36.112187,1.23,2.99,10,7,1.14
20260609_190003,6/9/2026,01:05.0,32.100562,36.112187,1.245,5.41,10,7,1.14
20260609_190003,6/9/2026,01:06.0,32.100571,36.112187,1.26,3.68,10,7,1.14
20260609_190003,6/9/2026,01:07.0,32.100581,36.1121872,1.356,3.2,10,7,1.14
20260609_190003,6/9/2026,01:08.0,32.100592,36.1121892,1.441,3.66,10,7,1.14
20260609_190003,6/9/2026,01:09.0,32.100603,36.1121918,1.402,5.33,10,7,1.14
20260609_190003,6/9/2026,01:10.0,32.1006133,36.1121927,1.365,4.72,10,7,1.14
20260609_190003,6/9/2026,01:11.0,32.1006235,36.1121952,1.352,4.27,10,6,1.52
20260609_190003,6/9/2026,01:12.0,32.1006337,36.1121987,1.388,3.26,10,7,1.52
20260609_190003,6/9/2026,01:13.0,32.1006443,36.1122013,1.443,2.31,10,8,1.52
20260609_190003,6/9/2026,01:14.0,32.1006557,36.1122043,1.473,3,11,8,1.52
20260609_190003,6/9/2026,01:15.0,32.1006655,36.1122045,1.393,2.45,11,8,0.99
20260609_190003,6/9/2026,01:16.0,32.1006752,36.1122052,1.336,3.05,11,8,0.99
20260609_190003,6/9/2026,01:17.0,32.1006855,36.1122053,1.364,2.32,11,8,0.99
20260609_190003,6/9/2026,01:18.0,32.1006957,36.112205,1.306,0.14,11,8,0.99
20260609_190003,6/9/2026,01:19.0,32.1007063,36.1122043,1.413,358.98,11,8,0.99
20260609_190003,6/9/2026,01:20.0,32.1007167,36.1122028,1.417,359.4,11,8,0.99
20260609_190003,6/9/2026,01:21.0,32.1007248,36.1122018,1.204,359.4,11,8,1.14
20260609_190003,6/9/2026,01:22.0,32.1007308,36.1122012,1.015,356.71,11,8,0.99
20260609_190003,6/9/2026,01:23.0,32.1007382,36.1121992,1.214,355.57,11,7,1.14
20260609_190003,6/9/2026,01:24.0,32.1007488,36.112197,1.378,355.52,11,8,1.14
20260609_190003,6/9/2026,01:25.0,32.1007598,36.1121955,1.372,355.84,11,8,1.14
20260609_190003,6/9/2026,01:26.0,32.1007708,36.1121958,1.343,0.18,11,8,1.14
20260609_190003,6/9/2026,01:27.0,32.100781,36.112194,1.338,359.29,11,8,0.99
20260609_190003,6/9/2026,01:28.0,32.1007925,36.1121932,1.423,357.99,11,8,1.14
20260609_190003,6/9/2026,01:29.0,32.1008038,36.112191,1.432,356.24,11,8,1.14
20260609_190003,6/9/2026,01:30.0,32.1008145,36.1121895,1.368,357.61,11,8,0.99
20260609_190003,6/9/2026,01:31.0,32.1008255,36.1121902,1.405,2.89,11,8,0.99
20260609_190003,6/9/2026,01:32.0,32.1008382,36.112192,1.564,5.41,11,8,0.99
20260609_190003,6/9/2026,01:33.0,32.1008498,36.1121933,1.475,6.21,11,7,1.14
20260609_190003,6/9/2026,01:34.0,32.1008605,36.1121938,1.377,5.37,11,7,1.14
20260609_190003,6/9/2026,01:35.0,32.1008715,36.1121933,1.351,2.21,11,7,1.14
20260609_190003,6/9/2026,01:36.0,32.1008828,36.1121932,1.371,2.1,11,7,1.14
20260609_190003,6/9/2026,01:37.0,32.1008943,36.112193,1.402,1.57,11,7,1.14
20260609_190003,6/9/2026,01:38.0,32.1009063,36.1121927,1.448,0.84,11,7,1.14
20260609_190003,6/9/2026,01:39.0,32.100918,36.112193,1.391,2.02,11,7,1.14
20260609_190003,6/9/2026,01:40.0,32.1009297,36.112193,1.371,1.8,11,7,1.14
20260609_190003,6/9/2026,01:41.0,32.100942,36.1121935,1.44,3.65,11,7,1.14
20260609_190003,6/9/2026,01:42.0,32.100954,36.1121948,1.418,6.54,11,8,1.14
20260609_190003,6/9/2026,01:43.0,32.1009665,36.1121953,1.453,5.25,11,7,1.14
20260609_190003,6/9/2026,01:44.0,32.100979,36.1121957,1.462,4.57,11,8,1.14
20260609_190003,6/9/2026,01:45.0,32.1009913,36.1121962,1.472,4.62,11,8,1.14
20260609_190003,6/9/2026,01:46.0,32.1010038,36.1121965,1.432,3.93,11,8,1.14
20260609_190003,6/9/2026,01:47.0,32.101015,36.1121962,1.412,4.35,11,8,0.99
20260609_190003,6/9/2026,01:48.0,32.1010263,36.1121965,1.385,4.24,11,8,0.99
20260609_190003,6/9/2026,01:49.0,32.1010375,36.1121965,1.313,3.23,11,8,1.14
20260609_190003,6/9/2026,01:50.0,32.1010492,36.1121977,1.324,5.81,11,8,0.99
20260609_190003,6/9/2026,01:51.0,32.1010597,36.1121988,1.262,6.69,11,8,0.99
20260609_190003,6/9/2026,01:52.0,32.1010733,36.1121998,1.465,3.43,11,8,1.14
20260609_190003,6/9/2026,01:53.0,32.101086,36.1122003,1.52,3.23,11,8,1.14
20260609_190003,6/9/2026,01:54.0,32.101098,36.1122002,1.488,3.29,11,8,0.99
20260609_190003,6/9/2026,01:55.0,32.1011103,36.1121993,1.496,0.34,11,8,0.99
20260609_190003,6/9/2026,01:56.0,32.1011228,36.112198,1.52,359.52,11,8,0.99
20260609_190003,6/9/2026,01:57.0,32.1011348,36.1121977,1.469,0.48,11,8,0.99
20260609_190003,6/9/2026,01:58.0,32.101147,36.1121978,1.475,2.07,11,8,0.99
20260609_190003,6/9/2026,01:59.0,32.1011598,36.1121978,1.457,2.35,11,8,0.99
20260609_190003,6/9/2026,02:00.0,32.1011725,36.112198,1.473,3.21,11,8,0.99
20260609_190003,6/9/2026,02:01.0,32.1011852,36.1121978,1.463,2.12,11,8,0.99
20260609_190003,6/9/2026,02:02.0,32.1011978,36.1121982,1.472,2.35,11,8,0.99
20260609_190003,6/9/2026,02:03.0,32.1012115,36.1121973,1.566,0.78,11,8,0.99
20260609_190003,6/9/2026,02:04.0,32.1012243,36.112197,1.457,0.63,11,8,0.99
20260609_190003,6/9/2026,02:05.0,32.1012355,36.1121975,1.358,1.89,11,8,0.99
20260609_190003,6/9/2026,02:06.0,32.101247,36.1121972,1.323,2.02,11,8,0.99
20260609_190003,6/9/2026,02:07.0,32.1012587,36.112197,1.353,1.16,11,8,0.99
20260609_190003,6/9/2026,02:08.0,32.1012708,36.1121973,1.432,2.21,11,8,1.14
20260609_190003,6/9/2026,02:09.0,32.101284,36.1121985,1.455,3.4,11,7,1.14
20260609_190003,6/9/2026,02:10.0,32.101297,36.1121998,1.441,4.09,11,8,1.14
20260609_190003,6/9/2026,02:11.0,32.1013093,36.1122002,1.382,3.19,11,8,1.14
20260609_190003,6/9/2026,02:12.0,32.1013218,36.1122003,1.394,2.27,11,8,0.99
20260609_190003,6/9/2026,02:13.0,32.1013347,36.1122007,1.411,1.7,11,8,1.14
20260609_190003,6/9/2026,02:14.0,32.1013463,36.1122013,1.366,2.14,11,8,0.99
20260609_190003,6/9/2026,02:15.0,32.1013592,36.1122028,1.507,6.24,11,8,0.99
20260609_190003,6/9/2026,02:16.0,32.101373,36.1122055,1.62,7.8,11,8,0.99
20260609_190003,6/9/2026,02:17.0,32.1013877,36.1122087,1.691,9.09,11,8,0.99
20260609_190003,6/9/2026,02:18.0,32.1014007,36.1122102,1.542,7.27,11,8,1.14
20260609_190003,6/9/2026,02:19.0,32.101413,36.1122113,1.439,6.08,11,7,1.14
20260609_190003,6/9/2026,02:20.0,32.1014243,36.1122115,1.37,5.24,11,7,1.14
20260609_190003,6/9/2026,02:21.0,32.1014362,36.1122128,1.366,5.85,11,8,1.14
20260609_190003,6/9/2026,02:22.0,32.1014472,36.112213,1.296,5.31,11,8,1.14
20260609_190003,6/9/2026,02:23.0,32.1014592,36.1122137,1.399,4.03,11,8,1.14
20260609_190003,6/9/2026,02:24.0,32.1014707,36.1122118,1.425,1.65,11,8,0.99
20260609_190003,6/9/2026,02:25.0,32.1014823,36.1122093,1.425,357.93,11,8,0.99
20260609_190003,6/9/2026,02:26.0,32.1014937,36.1122058,1.405,354.5,11,8,0.99
20260609_190003,6/9/2026,02:27.0,32.101505,36.1122027,1.386,352.37,11,8,0.99
20260609_190003,6/9/2026,02:28.0,32.1015183,36.1122023,1.439,354.97,11,8,1.14
20260609_190003,6/9/2026,02:29.0,32.1015313,36.1122013,1.487,356.13,11,8,1.14
20260609_190003,6/9/2026,02:30.0,32.1015433,36.112203,1.409,3.5,11,8,0.99
20260609_190003,6/9/2026,02:31.0,32.1015543,36.1122072,1.343,11.59,11,8,0.99
20260609_190003,6/9/2026,02:32.0,32.1015663,36.1122102,1.418,13.07,11,8,0.99
20260609_190003,6/9/2026,02:33.0,32.1015785,36.1122118,1.452,10.04,11,8,0.99
20260609_190003,6/9/2026,02:34.0,32.1015913,36.1122132,1.449,9.13,11,8,0.99
20260609_190003,6/9/2026,02:35.0,32.1016028,36.112215,1.383,9.49,11,8,0.99
20260609_190003,6/9/2026,02:36.0,32.1016142,36.1122158,1.384,7.23,11,8,0.99
20260609_190003,6/9/2026,02:37.0,32.1016257,36.1122163,1.364,6.9,11,8,0.99
20260609_190003,6/9/2026,02:38.0,32.101639,36.1122175,1.389,4.76,11,8,1.14
20260609_190003,6/9/2026,02:39.0,32.1016527,36.1122198,1.486,7.57,11,8,1.14
20260609_190003,6/9/2026,02:40.0,32.101666,36.1122212,1.441,6.39,11,8,0.99
20260609_190003,6/9/2026,02:41.0,32.1016798,36.112222,1.466,4.29,11,8,1.14
20260609_190003,6/9/2026,02:42.0,32.101692,36.1122223,1.397,2.49,11,8,0.99
20260609_190003,6/9/2026,02:43.0,32.1017042,36.1122213,1.38,359.67,11,8,0.99
20260609_190003,6/9/2026,02:44.0,32.1017165,36.1122212,1.375,0.87,11,8,0.99
20260609_190003,6/9/2026,02:45.0,32.1017282,36.1122217,1.343,2.97,11,8,0.99
20260609_190003,6/9/2026,02:46.0,32.1017413,36.1122225,1.49,4.43,11,8,0.99
20260609_190003,6/9/2026,02:47.0,32.1017542,36.1122228,1.482,4.17,11,8,0.99
20260609_190003,6/9/2026,02:48.0,32.1017675,36.112223,1.513,2.71,11,8,0.99
